User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
HI,Hey,2024-12-18 10:16:45
HI,"I'm fine, thank you",2024-12-18 10:16:53
TELL ME SOME RECEPIES BRO,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-18 10:17:07
TELL SOME MOVIES THEN,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-18 10:17:19
WEATHER,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-18 10:17:55
how to ride a bike,"Mindfulness techniques include meditation, deep breathing, body scanning, and mindful eating.",2024-12-18 10:19:46
TELL SOME MOVIES THEN,"I may not have personal preferences, but I can help you find movies based on your taste!",2024-12-18 10:26:30
yo wassup,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-18 10:36:08
pop,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-18 11:13:55
cake,Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2024-12-18 11:16:09
garden,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2024-12-18 11:51:19
how to start a business,"Entrepreneurship involves identifying opportunities, taking risks, and creating new ventures.",2024-12-18 11:52:22
